"sales_month","total_sales","total_quantity","previous_month_sales","previous_month_quantity","sales_mom_growth_rate","quantity_mom_growth_rate"
"2022-03-01 00:00:00.000","94183.0","151",,,,
"2022-04-01 00:00:00.000","2.5664935E7","41183","94183.0","151","271.5007166898485","271.73509933774835"
"2022-05-01 00:00:00.000","2.3462206E7","35522","2.5664935E7","41183","-0.08582640088509867","-0.13745963140130638"
"2022-06-01 00:00:00.000","1.9753746E7","30039","2.3462206E7","35522","-0.15806101097228453","-0.15435504757614998"
